carrier_id,carrier_name,country_name,country_code,national_destination_code
1159,LLC T2 Mob,Russia,7,90445
1159,LLC T2 Mob,Russia,7,90449
1159,LLC T2 Mob,Russia,7,90479
1159,LLC T2 Mob,Russia,7,908000
1159,LLC T2 Mob,Russia,7,908002
1159,LLC T2 Mob,Russia,7,908006
1159,LLC T2 Mob,Russia,7,908007
1159,LLC T2 Mob,Russia,7,90825
1159,LLC T2 Mob,Russia,7,908322
1159,LLC T2 Mob,Russia,7,908491
1159,LLC T2 Mob,Russia,7,908498
1159,LLC T2 Mob,Russia,7,908499
1159,LLC T2 Mob,Russia,7,90854
1159,LLC T2 Mob,Russia,7,908603
1159,LLC T2 Mob,Russia,7,9086081
1159,LLC T2 Mob,Russia,7,90883
1159,LLC T2 Mob,Russia,7,908854
1159,LLC T2 Mob,Russia,7,908856
1159,LLC T2 Mob,Russia,7,95031
1159,LLC T2 Mob,Russia,7,95038
1159,LLC T2 Mob,Russia,7,95039
1159,LLC T2 Mob,Russia,7,95109
1159,LLC T2 Mob,Russia,7,95123
1159,LLC T2 Mob,Russia,7,95125
1159,LLC T2 Mob,Russia,7,951271
1159,LLC T2 Mob,Russia,7,951272
1159,LLC T2 Mob,Russia,7,951275
1159,LLC T2 Mob,Russia,7,951342
1159,LLC T2 Mob,Russia,7,951993
1159,LLC T2 Mob,Russia,7,951999
1159,LLC T2 Mob,Russia,7,952010
1159,LLC T2 Mob,Russia,7,952013
1159,LLC T2 Mob,Russia,7,952014
1159,LLC T2 Mob,Russia,7,952310
1159,LLC T2 Mob,Russia,7,952312
1159,LLC T2 Mob,Russia,7,952319
1159,LLC T2 Mob,Russia,7,95232
1159,LLC T2 Mob,Russia,7,952662
1159,LLC T2 Mob,Russia,7,952663
1159,LLC T2 Mob,Russia,7,952673
1159,LLC T2 Mob,Russia,7,952680
1159,LLC T2 Mob,Russia,7,953034
1159,LLC T2 Mob,Russia,7,953415
1159,LLC T2 Mob,Russia,7,953998
1159,LLC T2 Mob,Russia,7,958641
1159,LLC T2 Mob,Russia,7,9586444
1159,LLC T2 Mob,Russia,7,99100
1159,LLC T2 Mob,Russia,7,99101
1159,LLC T2 Mob,Russia,7,99202
1159,LLC T2 Mob,Russia,7,99235
1159,LLC T2 Mob,Russia,7,99240
1159,LLC T2 Mob,Russia,7,99252
1159,LLC T2 Mob,Russia,7,99300
1159,LLC T2 Mob,Russia,7,99400
1159,LLC T2 Mob,Russia,7,99580
1159,LLC T2 Mob,Russia,7,996013
1159,LLC T2 Mob,Russia,7,996202
1159,LLC T2 Mob,Russia,7,99673
1159,LLC T2 Mob,Russia,7,999689
1160,Vimplcom,Russia,7,90206
1160,Vimplcom,Russia,7,905
1160,Vimplcom,Russia,7,90846
1161,MegaFon,Russia,7,81290
1161,MegaFon,Russia,7,930
1161,MegaFon,Russia,7,936
1161,MegaFon,Russia,7,938
1163,STC,Saudi Arabia,966,53
1163,STC,Saudi Arabia,966,
1166,SENTEL,Senegal,221,7639
1166,SENTEL,Senegal,221,7647
1166,SENTEL,Senegal,221,7653
1166,SENTEL,Senegal,221,7674
1166,SENTEL,Senegal,221,7686
1167,StarHub Pte,Singapore,65,811
1167,StarHub Pte,Singapore,65,5
1169,TelenorSw,Sweden,46,7288
1169,TelenorSw,Sweden,46,729
1169,TelenorSw,Sweden,46,7343
1169,TelenorSw,Sweden,46,73861
1169,TelenorSw,Sweden,46,76461
1169,TelenorSw,Sweden,46,76462
1169,TelenorSw,Sweden,46,7664
1169,TelenorSw,Sweden,46,7675
1170,Tele2Sweden,Sweden,46,762
1170,Tele2Sweden,Sweden,46,766
1171,Tele2Sweden2,Sweden,46,na
1171,Tele2Sweden2,Sweden,46,
1174,Togocel,Togo,228,09
1174,Togocel,Togo,228,73
1174,Togocel,Togo,228,76
1174,Togocel,Togo,228,82
1174,Togocel,Togo,228,83
1174,Togocel,Togo,228,93
1175,TrueMove ,Thailand,66,809
1175,TrueMove ,Thailand,66,81464
1175,TrueMove ,Thailand,66,82901
1175,TrueMove ,Thailand,66,8291
